name,width,height
A0,841,1189	 
A1,594,841
A2,420,594
A3,297,420
A4,210,297
A5,148,210
A6,105,148
A7,74,105	 
A8,52,74
A9,37,52
A10,26,37
B0,1000,1414
B1,707,1000
B2,500,707
B3,353,500
B4,250,353
B5,176,250
B6,125,176
B7,88,125
B8,63,88
B9,44,63
B10,31,44
大全紙,508,610
全紙,457,560
A3ノビ,329,483
半切,356,432
大四つ切,279,355
四つ切,254,305
六つ切ワイド,203,305
六つ切,203,254
2L,127,178
ハガキ（KG）,102,152
L（サービスサイズ）,89,127
DSC,89,119
名刺,55,91
